n_features,cluster,method,split,percent_rmse,rmse,mae,r2
160,1,MLP,test,120.41632096082316,145.5676791693472,122.37574005126953,-2.3381361961364746
160,1,MLP,train,112.81259803507109,181.05542357590397,161.8217315673828,-3.8772683143615723
170,0,NNLS,test,14.010620188986906,30.43889329535075,26.81001724730022,0.4580321779519142
170,0,NNLS,train,21.796749138192563,42.642710881726714,35.6576759831288,0.221083354357288
170,0,LINEAR,test,15.33039442028333,33.3061801433636,28.4444580078125,0.35111838579177856
170,0,LINEAR,train,9.67674772662735,18.931389858450864,15.55572509765625,0.8464795351028442
170,0,XGB,test,17.220864592002627,37.413337361160394,29.551904678344727,0.18121719360351562
170,0,XGB,train,5.234567137329399,10.240799286761668,8.440754890441895,0.9550769925117493
170,0,MLP,test,102.36712281422413,222.39857238750432,218.5248260498047,-27.93208885192871
170,0,MLP,train,103.54750561935116,202.5782063488074,196.74046325683594,-16.57870101928711
170,1,NNLS,test,20.535155604196824,24.82433376831771,18.808671404145418,0.9029200882722513
170,1,NNLS,train,23.53034590183872,37.76437045462341,28.832227608862564,0.7878133491705547
170,1,LINEAR,test,27.475298493055046,33.2140643743825,23.744855880737305,0.8262126445770264
170,1,LINEAR,train,19.935232624704625,31.99449396447721,25.664817810058594,0.8476985692977905
170,1,XGB,test,32.53207213733258,39.32704638220925,32.25381851196289,0.7563554048538208
